timestamp,date_time,msa,wind_speed,saws_temp,hrseg,timepoint,wind_temp
1,2013-04-21,0.0927735217,2,18.5,180,2013-04-21 08:05:34,37
2,2013-04-21,0.0147958794,2,18.5,180,2013-04-21 08:07:24,37
3,2013-04-21,0.0361028667,2,18.5,180,2013-04-21 08:09:15,37
4,2013-04-21,0.01555319,2,18.5,180,2013-04-21 08:11:07,37
5,2013-04-21,0.0169061942,2,18.5,180,2013-04-21 08:13:02,37
6,2013-04-21,0.0177170063,2,18.5,180,2013-04-21 08:14:52,37
7,2013-04-21,0.0142608511,2,18.5,180,2013-04-21 08:16:43,37
8,2013-04-21,0.0167077119,2,18.5,180,2013-04-21 08:18:35,37
9,2013-04-21,0.0088563744,2,18.5,180,2013-04-21 08:20:27,37
10,2013-04-21,0.0113417264,2,18.5,181,2013-04-21 08:24:28,37
11,2013-04-21,0.0098590101,2,18.5,181,2013-04-21 08:26:20,37
12,2013-04-21,0.0162011565,2,18.5,181,2013-04-21 08:28:11,37
13,2013-04-21,0.0132638042,2,18.5,181,2013-04-21 08:30:05,37
14,2013-04-21,0.011181824,2,18.5,181,2013-04-21 08:31:56,37
15,2013-04-21,0.0164015983,2,18.5,181,2013-04-21 08:33:48,37
16,2013-04-21,0.0148322674,2,18.5,181,2013-04-21 08:35:39,37
17,2013-04-21,0.0125532316,2,18.5,181,2013-04-21 08:37:32,37
18,2013-04-21,0.0109227017,2,18.5,181,2013-04-21 08:39:24,37
19,2013-04-21,0.0130993927,2,18.5,181,2013-04-21 08:41:16,37
20,2013-04-21,0.0070749958,2,18.5,181,2013-04-21 08:43:07,37
21,2013-04-21,0.0735229146,2,18.5,181,2013-04-21 08:45:00,37
22,2013-04-21,0.012776377,2,18.5,181,2013-04-21 08:46:51,37
23,2013-04-21,0.015862334,2,18.5,181,2013-04-21 08:48:44,37
24,2013-04-21,0.1981573114,2,18.5,183,2013-04-21 08:58:41,37
25,2013-04-21,0.0497540251,2.4,19.7,183,2013-04-21 09:00:32,47.28
26,2013-04-21,0.0197161699,2.4,19.7,183,2013-04-21 09:02:21,47.28
27,2013-04-21,0.0969533486,2.4,19.7,183,2013-04-21 09:04:15,47.28
28,2013-04-21,0.3702015554,2.4,19.7,184,2013-04-21 09:23:07,47.28
29,2013-04-21,0.292735558,2.4,19.7,184,2013-04-21 09:25:00,47.28
30,2013-04-21,0.0993662691,2.4,19.7,184,2013-04-21 09:26:52,47.28
31,2013-04-21,0.0117163458,2.4,19.7,186,2013-04-21 09:42:19,47.28
32,2013-04-21,0.0134353095,2.4,19.7,186,2013-04-21 09:44:14,47.28
33,2013-04-21,0.0098311451,2.4,19.7,186,2013-04-21 09:46:09,47.28
34,2013-04-21,0.0210644289,2.4,19.7,187,2013-04-21 09:49:50,47.28
35,2013-04-21,0.020897156,2.4,19.7,187,2013-04-21 09:51:41,47.28
36,2013-04-21,0.0113310718,2.4,19.7,187,2013-04-21 09:53:33,47.28
37,2013-04-21,0.0132156582,2.4,19.7,187,2013-04-21 09:55:24,47.28
38,2013-04-21,0.0107677922,2.4,19.7,187,2013-04-21 09:57:18,47.28
39,2013-04-21,0.0153997102,2.4,19.7,187,2013-04-21 09:59:11,47.28
40,2013-04-21,0.0143577017,2.4,19.7,188,2013-04-21 10:03:24,47.28
41,2013-04-21,0.0141382083,2.4,19.7,188,2013-04-21 10:05:15,47.28
42,2013-04-21,0.0170593422,2.4,19.7,188,2013-04-21 10:07:07,47.28
43,2013-04-21,0.0143991505,3.6,19.6,188,2013-04-21 10:09:01,70.56
44,2013-04-21,0.0163555572,3.6,19.6,188,2013-04-21 10:10:54,70.56
45,2013-04-21,0.0131947131,3.6,19.6,188,2013-04-21 10:12:48,70.56
46,2013-04-21,1.0635772504,3.6,19.6,189,2013-04-21 10:16:28,70.56
47,2013-04-21,0.2435319721,3.6,19.6,189,2013-04-21 10:18:19,70.56
48,2013-04-21,0.2435050136,3.6,19.6,189,2013-04-21 10:20:13,70.56
49,2013-04-21,0.3627484343,3.6,19.6,189,2013-04-21 10:22:03,70.56
50,2013-04-21,0.4811890554,3.6,19.6,189,2013-04-21 10:23:56,70.56
51,2013-04-21,0.2253079731,3.6,19.6,192,2013-04-21 10:48:44,70.56
52,2013-04-21,0.2395133171,3.6,19.6,192,2013-04-21 10:50:35,70.56
53,2013-04-21,0.3347133459,3.6,19.6,192,2013-04-21 10:52:28,70.56
54,2013-04-21,0.2222851228,3.6,19.6,192,2013-04-21 10:54:22,70.56
55,2013-04-21,0.2993524523,3.6,19.6,192,2013-04-21 10:56:11,70.56
56,2013-04-21,0.1518882197,3.6,19.6,192,2013-04-21 10:58:02,70.56
57,2013-04-21,0.2890811697,3.6,19.6,192,2013-04-21 10:59:55,70.56
58,2013-04-21,0.2987495628,3.6,19.6,192,2013-04-21 11:01:52,70.56
59,2013-04-21,0.1887255026,3.6,19.6,194,2013-04-21 11:11:06,70.56
60,2013-04-21,0.0713746036,4.5,19.9,194,2013-04-21 11:13:01,89.55
61,2013-04-21,0.0068980009,4.5,19.9,194,2013-04-21 11:14:51,89.55
62,2013-04-21,0.4899036118,4.5,19.9,194,2013-04-21 11:16:45,89.55
63,2013-04-21,0.0138437806,4.5,19.9,194,2013-04-21 11:18:35,89.55
64,2013-04-21,0.0229879189,4.5,19.9,194,2013-04-21 11:20:28,89.55
65,2013-04-21,0.0109614485,4.5,19.9,194,2013-04-21 11:22:20,89.55
66,2013-04-21,0.0303494065,4.5,19.9,194,2013-04-21 11:24:12,89.55
67,2013-04-21,0.0354181103,4.5,19.9,194,2013-04-21 11:26:04,89.55
68,2013-04-21,0.0162681291,4.5,19.9,194,2013-04-21 11:27:54,89.55
69,2013-04-21,0.0136597854,4.5,19.9,195,2013-04-21 11:31:55,89.55
70,2013-04-21,0.0160220194,4.5,19.9,195,2013-04-21 11:33:46,89.55
71,2013-04-21,0.0161714489,4.5,19.9,195,2013-04-21 11:35:40,89.55
72,2013-04-21,0.0266857013,4.5,19.9,195,2013-04-21 11:37:35,89.55
73,2013-04-21,0.0112965911,4.5,19.9,195,2013-04-21 11:39:26,89.55
74,2013-04-21,0.0047505999,4.5,19.9,196,2013-04-21 11:43:26,89.55
75,2013-04-21,0.0211007199,4.5,19.9,196,2013-04-21 11:45:16,89.55
76,2013-04-21,0.0205989443,4.5,19.9,196,2013-04-21 11:47:11,89.55
77,2013-04-21,0.0323172124,4.5,19.9,197,2013-04-21 11:50:54,89.55
78,2013-04-21,0.0329338084,4.5,19.9,197,2013-04-21 11:52:45,89.55
79,2013-04-21,0.0519971392,4.5,19.9,197,2013-04-21 11:54:35,89.55
80,2013-04-21,0.0239273232,4.5,19.9,197,2013-04-21 11:56:31,89.55
81,2013-04-21,0.0387483691,4.3,20.5,198,2013-04-21 12:00:27,88.15
82,2013-04-21,0.084905036,4.3,20.5,198,2013-04-21 12:02:20,88.15
83,2013-04-21,0.0343696967,4.3,20.5,198,2013-04-21 12:04:11,88.15
84,2013-04-21,0.0248547648,4.3,20.5,198,2013-04-21 12:06:03,88.15
85,2013-04-21,0.0181117292,4.3,20.5,198,2013-04-21 12:07:55,88.15
86,2013-04-21,0.0150152158,4.3,20.5,198,2013-04-21 12:09:48,88.15
87,2013-04-21,0.0164122653,4.3,20.5,198,2013-04-21 12:11:41,88.15
88,2013-04-21,0.0225318234,4.3,20.5,198,2013-04-21 12:13:32,88.15
89,2013-04-21,0.0187646976,4.3,20.5,198,2013-04-21 12:15:24,88.15
90,2013-04-21,0.044551496,4.3,20.5,198,2013-04-21 12:17:16,88.15
