date,Appliances
2016/1/12 0:00,40
2016/1/12 0:10,30
2016/1/12 0:20,40
2016/1/12 0:30,50
2016/1/12 0:40,310
2016/1/12 0:50,380
2016/1/12 1:00,380
2016/1/12 1:10,370
2016/1/12 1:20,120
2016/1/12 1:30,50
2016/1/12 1:40,40
2016/1/12 1:50,50
2016/1/12 2:00,40
2016/1/12 2:10,50
2016/1/12 2:20,50
2016/1/12 2:30,50
2016/1/12 2:40,40
2016/1/12 2:50,40
2016/1/12 3:00,30
2016/1/12 3:10,20
2016/1/12 3:20,20
2016/1/12 3:30,40
2016/1/12 3:40,50
2016/1/12 3:50,50
2016/1/12 4:00,40
2016/1/12 4:10,50
2016/1/12 4:20,40
2016/1/12 4:30,40
2016/1/12 4:40,40
2016/1/12 4:50,60
2016/1/12 5:00,50
2016/1/12 5:10,50
2016/1/12 5:20,40
2016/1/12 5:30,40
2016/1/12 5:40,40
2016/1/12 5:50,40
2016/1/12 6:00,50
2016/1/12 6:10,70
2016/1/12 6:20,40
2016/1/12 6:30,30
2016/1/12 6:40,20
2016/1/12 6:50,30
2016/1/12 7:00,40
2016/1/12 7:10,50
2016/1/12 7:20,60
2016/1/12 7:30,60
2016/1/12 7:40,70
2016/1/12 7:50,60
2016/1/12 8:00,140
2016/1/12 8:10,110
2016/1/12 8:20,90
2016/1/12 8:30,60
2016/1/12 8:40,60
2016/1/12 8:50,60
2016/1/12 9:00,50
2016/1/12 9:10,60
2016/1/12 9:20,50
2016/1/12 9:30,30
2016/1/12 9:40,40
2016/1/12 9:50,30
2016/1/12 10:00,260
2016/1/12 10:10,500
2016/1/12 10:20,450
2016/1/12 10:30,50
2016/1/12 10:40,60
2016/1/12 10:50,60
2016/1/12 11:00,50
2016/1/12 11:10,50
2016/1/12 11:20,50
2016/1/12 11:30,60
2016/1/12 11:40,60
2016/1/12 11:50,60
2016/1/12 12:00,60
2016/1/12 12:10,190
2016/1/12 12:20,220
2016/1/12 12:30,170
2016/1/12 12:40,390
2016/1/12 12:50,90
2016/1/12 13:00,60
2016/1/12 13:10,290
2016/1/12 13:20,130
2016/1/12 13:30,140
2016/1/12 13:40,240
2016/1/12 13:50,50
2016/1/12 14:00,60
2016/1/12 14:10,60
2016/1/12 14:20,60
2016/1/12 14:30,370
2016/1/12 14:40,200
2016/1/12 14:50,70
2016/1/12 15:00,50
2016/1/12 15:10,40
2016/1/12 15:20,40
2016/1/12 15:30,30
2016/1/12 15:40,30
2016/1/12 15:50,30
2016/1/12 16:00,30
2016/1/12 16:10,40
2016/1/12 16:20,50
2016/1/12 16:30,40
2016/1/12 16:40,40
2016/1/12 16:50,40
2016/1/12 17:00,60
2016/1/12 17:10,60
2016/1/12 17:20,210
2016/1/12 17:30,380
2016/1/12 17:40,370
2016/1/12 17:50,230
2016/1/12 18:00,80
2016/1/12 18:10,90
2016/1/12 18:20,70
2016/1/12 18:30,40
2016/1/12 18:40,40
2016/1/12 18:50,30
2016/1/12 19:00,50
2016/1/12 19:10,50
2016/1/12 19:20,60
2016/1/12 19:30,50
2016/1/12 19:40,60
2016/1/12 19:50,60
2016/1/12 20:00,60
2016/1/12 20:10,50
2016/1/12 20:20,50
2016/1/12 20:30,50
2016/1/12 20:40,50
2016/1/12 20:50,50
2016/1/12 21:00,60
2016/1/12 21:10,60
2016/1/12 21:20,40
2016/1/12 21:30,30
2016/1/12 21:40,30
2016/1/12 21:50,30
2016/1/12 22:00,40
2016/1/12 22:10,50
2016/1/12 22:20,50
2016/1/12 22:30,50
2016/1/12 22:40,40
2016/1/12 22:50,50
2016/1/12 23:00,40
2016/1/12 23:10,40
2016/1/12 23:20,40
2016/1/12 23:30,40
2016/1/12 23:40,50
2016/1/12 23:50,50
2016/1/13 0:00,50
2016/1/13 0:10,30
2016/1/13 0:20,20
2016/1/13 0:30,30
2016/1/13 0:40,20
2016/1/13 0:50,40
2016/1/13 1:00,50
2016/1/13 1:10,60
2016/1/13 1:20,50
2016/1/13 1:30,40
2016/1/13 1:40,40
2016/1/13 1:50,50
2016/1/13 2:00,40
2016/1/13 2:10,40
2016/1/13 2:20,50
2016/1/13 2:30,50
2016/1/13 2:40,50
2016/1/13 2:50,40
2016/1/13 3:00,30
2016/1/13 3:10,20
2016/1/13 3:20,20
2016/1/13 3:30,20
2016/1/13 3:40,50
2016/1/13 3:50,50
2016/1/13 4:00,50
2016/1/13 4:10,40
2016/1/13 4:20,40
2016/1/13 4:30,50
2016/1/13 4:40,40
2016/1/13 4:50,50
2016/1/13 5:00,50
2016/1/13 5:10,50
2016/1/13 5:20,40
2016/1/13 5:30,40
2016/1/13 5:40,50
2016/1/13 5:50,20
2016/1/13 6:00,20
2016/1/13 6:10,50
2016/1/13 6:20,30
2016/1/13 6:30,50
2016/1/13 6:40,50
2016/1/13 6:50,200
2016/1/13 7:00,110
2016/1/13 7:10,80
2016/1/13 7:20,50
2016/1/13 7:30,50
2016/1/13 7:40,50
2016/1/13 7:50,40
2016/1/13 8:00,40
2016/1/13 8:10,30
2016/1/13 8:20,180
2016/1/13 8:30,350
2016/1/13 8:40,350
2016/1/13 8:50,300
2016/1/13 9:00,400
2016/1/13 9:10,390
2016/1/13 9:20,290
2016/1/13 9:30,60
2016/1/13 9:40,70
2016/1/13 9:50,110
2016/1/13 10:00,90
2016/1/13 10:10,60
2016/1/13 10:20,70
2016/1/13 10:30,80
2016/1/13 10:40,60
2016/1/13 10:50,40
2016/1/13 11:00,30
2016/1/13 11:10,70
2016/1/13 11:20,50
2016/1/13 11:30,80
2016/1/13 11:40,80
2016/1/13 11:50,50
2016/1/13 12:00,40
2016/1/13 12:10,50
2016/1/13 12:20,40
2016/1/13 12:30,40
2016/1/13 12:40,50
2016/1/13 12:50,30
2016/1/13 13:00,30
2016/1/13 13:10,20
2016/1/13 13:20,20
2016/1/13 13:30,50
2016/1/13 13:40,40
2016/1/13 13:50,50
2016/1/13 14:00,40
2016/1/13 14:10,60
2016/1/13 14:20,40
2016/1/13 14:30,40
2016/1/13 14:40,50
2016/1/13 14:50,40
2016/1/13 15:00,40
2016/1/13 15:10,30
2016/1/13 15:20,30
2016/1/13 15:30,30
2016/1/13 15:40,40
2016/1/13 15:50,80
2016/1/13 16:00,70
2016/1/13 16:10,80
2016/1/13 16:20,70
