2020-03-12,122
2020-03-13,20
2020-03-14,24
2020-03-15,20
2020-03-16,25
2020-03-17,23
2020-03-18,63
2020-03-19,62
2020-03-20,41
2020-03-21,41
2020-03-22,42
2020-03-23,36
2020-03-24,69
2020-03-25,42
2020-03-26,66
2020-03-27,53
2020-03-28,29
2020-03-29,30
2020-03-30,31
2020-03-31,65
2020-04-01,65
2020-04-02,24
2020-04-03,34
2020-04-04,42
2020-04-05,44
2020-04-06,17
2020-04-07,19
2020-04-08,24
2020-04-09,14
2020-04-10,10
2020-04-11,10
2020-04-12,5
2020-04-13,7
2020-04-14,5
2020-04-15,40
2020-04-16,8
2020-04-17,4
2020-04-18,6
2020-04-19,0
2020-04-20,3
2020-04-21,5
2020-04-22,3
2020-04-23,0
2020-04-24,1
